half_wavelength_mm, fcr_MPa, Pcr_kN
20.0, 387.3584, 66.13296
25.0, 263.2984, 44.95244
30.0, 196.8484, 33.60755
35.0, 157.7184, 26.92697
40.0, 133.2589, 22.75104
45.0, 117.4282, 20.04830
50.0, 107.0454, 18.27566
55.0, 100.3061, 17.12506
60.0, 96.1250, 16.41123
65.0, 93.8173, 16.01725
70.0, 92.9333, 15.86633
75.0, 93.1675, 15.90630
80.0, 94.3057, 16.10063
85.0, 96.1940, 16.42302
90.0, 98.7185, 16.85403
95.0, 101.7931, 17.37895
100.0, 105.3508, 17.98634
105.0, 109.3381, 18.66709
110.0, 113.7112, 19.41370
115.0, 118.4329, 20.21983
120.0, 123.4709, 21.07995
125.0, 128.7958, 21.98907
130.0, 134.3805, 22.94252
135.0, 140.1986, 23.93584
140.0, 146.2244, 24.96461
145.0, 152.4315, 26.02434
150.0, 158.7929, 27.11042
155.0, 165.2804, 28.21801
160.0, 171.8638, 29.34198
165.0, 178.5110, 30.47684
170.0, 185.1876, 31.61672
175.0, 191.8565, 32.75530
180.0, 198.4782, 33.88581
185.0, 205.0103, 35.00101
190.0, 211.4078, 36.09325
195.0, 217.6237, 37.15447
200.0, 223.6091, 38.17636
205.0, 229.3145, 39.15043
210.0, 234.6905, 40.06826
215.0, 239.6894, 40.92172
220.0, 244.2669, 41.70323
225.0, 248.3837, 42.40608
230.0, 252.0075, 43.02476
235.0, 255.1145, 43.55521
240.0, 257.6909, 43.99508
245.0, 259.7336, 44.34382
250.0, 261.2503, 44.60277
255.0, 262.2591, 44.77501
260.0, 262.7874, 44.86520
265.0, 262.8700, 44.87930
270.0, 262.5473, 44.82420
275.0, 261.8634, 44.70745
280.0, 260.8642, 44.53684
285.0, 259.5952, 44.32020
290.0, 258.1010, 44.06510
295.0, 256.4236, 43.77872
300.0, 254.6018, 43.46769
305.0, 252.6711, 43.13806
310.0, 250.6632, 42.79526
315.0, 248.6061, 42.44406
320.0, 246.5244, 42.08865
325.0, 244.4393, 41.73265
330.0, 242.3688, 41.37916
335.0, 240.3284, 41.03081
340.0, 238.3310, 40.68979
345.0, 236.3873, 40.35795
350.0, 234.5061, 40.03678
355.0, 232.6947, 39.72752
360.0, 230.9587, 39.43114
365.0, 229.3027, 39.14841
370.0, 227.7301, 38.87993
375.0, 226.2435, 38.62612
380.0, 224.8445, 38.38728
385.0, 223.5345, 38.16363
390.0, 222.3140, 37.95524
395.0, 221.1831, 37.76216
400.0, 220.1415, 37.58435
405.0, 219.1888, 37.42169
410.0, 218.3242, 37.27407
415.0, 217.5465, 37.14130
420.0, 216.8547, 37.02319
425.0, 216.2473, 36.91950
430.0, 215.7230, 36.82999
435.0, 215.2803, 36.75440
440.0, 214.9175, 36.69245
445.0, 214.6330, 36.64388
450.0, 214.4252, 36.60840
455.0, 214.2923, 36.58572
460.0, 214.2327, 36.57554
465.0, 214.2447, 36.57759
470.0, 214.3266, 36.59158
475.0, 214.4768, 36.61721
480.0, 214.6935, 36.65421
485.0, 214.9751, 36.70229
490.0, 215.3200, 36.76117
495.0, 215.7266, 36.83060
500.0, 216.1934, 36.91028
505.0, 216.7187, 36.99997
510.0, 217.3011, 37.09940
515.0, 217.9390, 37.20832
520.0, 218.6311, 37.32647
525.0, 219.3758, 37.45361
530.0, 220.1718, 37.58951
535.0, 221.0176, 37.73391
540.0, 221.9119, 37.88659
545.0, 222.8533, 38.04732
550.0, 223.8406, 38.21588
555.0, 224.8724, 38.39204
560.0, 225.9475, 38.57558
565.0, 227.0645, 38.76629
570.0, 228.2223, 38.96396
575.0, 229.4196, 39.16838
580.0, 230.6553, 39.37934
585.0, 231.9280, 39.59664
590.0, 233.2367, 39.82007
595.0, 234.5802, 40.04943
