mode, Pcr_kN, Pcr_kips, fcr_MPa, fcr_ksi, class, rigid_body_fraction, webflange_corner_ratio, flangelip_corner_ratio, liptip_ratio, hole_energy_fraction, hole_displacement_ratio, web_halfwaves, liptip_halfwaves, liptip_halfwaves_seg1, liptip_halfwaves_seg2, global_description
1, 15.7330, 3.5369, 92.152, 13.3656, local, 0.169, 0.012, 0.038, 0.072, 0.004, 0.06, 6, 8, 4, 4, 
2, 15.7330, 3.5369, 92.152, 13.3656, local, 0.169, 0.012, 0.037, 0.072, 0.004, 0.06, 5, 7, 4, 4, 
3, 16.7183, 3.7584, 97.924, 14.2026, local, 0.168, 0.012, 0.055, 0.085, 0.011, 0.14, 14, 16, 8, 8, 
4, 16.7189, 3.7586, 97.927, 14.2031, local, 0.169, 0.014, 0.052, 0.084, 0.011, 0.14, 13, 15, 8, 8, 
5, 16.7366, 3.7625, 98.031, 14.2181, local, 0.169, 0.015, 0.053, 0.092, 0.010, 0.15, 14, 16, 8, 8, 
6, 16.7366, 3.7625, 98.031, 14.2182, local, 0.169, 0.015, 0.053, 0.092, 0.010, 0.15, 13, 15, 8, 8, 
7, 17.1955, 3.8657, 100.719, 14.6080, local, 0.169, 0.012, 0.013, 0.075, 0.047, 0.29, 9, 10, 8, 7, 
8, 17.1956, 3.8657, 100.719, 14.6081, local, 0.169, 0.012, 0.013, 0.075, 0.048, 0.29, 8, 9, 7, 7, 
9, 17.2663, 3.8816, 101.133, 14.6681, local, 0.169, 0.013, 0.067, 0.091, 0.012, 0.12, 6, 10, 5, 5, 
10, 17.2777, 3.8842, 101.200, 14.6778, local, 0.171, 0.018, 0.025, 0.085, 0.011, 0.17, 7, 9, 5, 5, 
11, 17.7418, 3.9885, 103.918, 15.0721, local, 0.169, 0.015, 0.029, 0.077, 0.055, 0.34, 22, 24, 12, 12, 
12, 17.7428, 3.9888, 103.925, 15.0730, local, 0.169, 0.013, 0.030, 0.076, 0.055, 0.34, 21, 25, 13, 13, 
13, 17.8205, 4.0062, 104.380, 15.1390, local, 0.188, 0.038, 0.149, 0.177, 0.045, 0.34, 18, 6, 3, 3, 
14, 17.8230, 4.0068, 104.394, 15.1411, local, 0.171, 0.030, 0.154, 0.179, 0.044, 0.34, 15, 13, 7, 7, 
15, 18.2431, 4.1012, 106.855, 15.4980, local, 0.168, 0.013, 0.022, 0.075, 0.065, 0.34, 14, 20, 10, 10, 
16, 18.3322, 4.1212, 107.377, 15.5737, local, 0.158, 0.014, 0.124, 0.139, 0.047, 0.27, 7, 9, 5, 5, 
17, 18.7003, 4.2040, 109.532, 15.8863, local, 0.162, 0.044, 0.310, 0.361, 0.139, 0.84, 18, 4, 2, 2, 
18, 18.7061, 4.2053, 109.567, 15.8913, local, 0.162, 0.042, 0.299, 0.347, 0.143, 0.82, 17, 3, 2, 2, 
19, 19.0620, 4.2853, 111.651, 16.1937, local, 0.162, 0.025, 0.169, 0.198, 0.266, 1.27, 19, 11, 6, 6, 
20, 19.0676, 4.2866, 111.684, 16.1984, local, 0.154, 0.028, 0.191, 0.227, 0.229, 1.30, 16, 4, 2, 2, 
21, 19.2926, 4.3371, 113.002, 16.3895, local, 0.158, 0.045, 0.298, 0.340, 0.210, 1.88, 35, 5, 3, 3, 
22, 19.2944, 4.3376, 113.012, 16.3911, local, 0.146, 0.047, 0.333, 0.376, 0.166, 1.49, 26, 4, 2, 2, 
